org,공고수,투명성점수,임금,근무시간,근무기간,모집인원,지원마감일,자격요건,지원방법,문의처,주채널,사용채널수
교목팀,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,청년광장,1
경영대학,3,66.7,100.0,100.0,0.0,33.3,0.0,100.0,100.0,100.0,서담,2
기숙사,3,45.8,66.7,33.3,33.3,0.0,66.7,66.7,33.3,66.7,서담,1
지식융합미디어대학행정팀,3,91.7,100.0,100.0,100.0,33.3,100.0,100.0,100.0,100.0,청년광장,2
스마트설계생산기술연구소,3,54.2,33.3,0.0,66.7,66.7,66.7,66.7,66.7,66.7,학과·기관 홈페이지,1
Sogang KIP,2,75.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,서담,1
빅데이터사이언스연계전공,2,87.5,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,학과·기관 홈페이지,1
LINC사업팀,2,87.5,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,청년광장,2
지식융합대학행정팀,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,서담,1
공과대학행정팀,2,31.2,50.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,학과·기관 홈페이지,1
STNT어학센터,2,75.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,서담,1
창업지원단,2,68.8,100.0,50.0,0.0,0.0,100.0,100.0,100.0,100.0,서담,1
이냐시오인재센터,2,75.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,청년광장,2
시스템반도체공학,2,62.5,50.0,0.0,50.0,100.0,100.0,100.0,100.0,0.0,학과·기관 홈페이지,1
소프트웨어융합대학행정팀,2,62.5,100.0,100.0,50.0,0.0,50.0,100.0,50.0,50.0,청년광장,1
알바트로스어학센터,2,62.5,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,서담,1
SW중심대학사업단,2,75.0,100.0,50.0,100.0,0.0,50.0,100.0,100.0,100.0,청년광장,2
체육관,1,87.5,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,학과·기관 홈페이지,1
철학연구소,1,87.5,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,서담,1
지식정보기획팀,1,50.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,서담,1
신문방송학전공,1,75.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,청년광장,1
국제한국학,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,청년광장,1
RISE 사업팀,1,87.5,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,청년광장,1
커뮤니케이션학전공,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,학과·기관 홈페이지,1
바이오기술·투자전문인력양성센터,1,87.5,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,청년광장,1
교양영어 조교,1,50.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,서담,1
핀테크 연구센터,1,62.5,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,서담,1
학과,1,62.5,100.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,학과·기관 홈페이지,1
학과사무실 및 산학협력단 현장실습센터,1,50.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,학과·기관 홈페이지,1
마포-서강 영어캠프 운영팀,1,62.5,100.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,서담,1
메카트로닉스 & 바이오역학실험실,1,37.5,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,학과·기관 홈페이지,1
