org,청년광장,서담,학과·기관 홈페이지,합계,사용채널수,주채널
현장실습지원센터,0,0,1,1,1,학과·기관 홈페이지
LINC 사업단 창업교육센터,0,1,0,1,1,서담
서강비즈니스센터,0,1,0,1,1,서담
대학원총학생회,1,0,0,1,1,청년광장
공학교육연구센터,0,0,1,1,1,학과·기관 홈페이지
매크로경영교육센터,0,1,0,1,1,서담
마포중앙도서관 영어교육센터,0,1,0,1,1,서담
마포-서강 영어캠프(MSEC) 운영본부,0,1,0,1,1,서담
부동산학협동과정,1,0,0,1,1,청년광장
국제한국학,1,0,0,1,1,청년광장
인공광합성연구센터,1,0,0,1,1,청년광장
마포-서강 영어캠프 운영팀,0,1,0,1,1,서담
인문대학행정팀,0,1,0,1,1,서담
메카트로닉스 & 바이오역학실험실,0,0,1,1,1,학과·기관 홈페이지
경제대학,0,1,0,1,1,서담
국제대학원,0,1,0,1,1,서담
교양영어 조교,0,1,0,1,1,서담
일반대학원 제32대 총학생회,1,0,0,1,1,청년광장
디지털인문학연계전공,1,0,0,1,1,청년광장
신문방송학전공,1,0,0,1,1,청년광장
경영대 빅데이터 연구팀,0,1,0,1,1,서담
가상자산연구소,0,0,1,1,1,학과·기관 홈페이지
TNT 어학센터,0,1,0,1,1,서담
예산팀,1,0,0,1,1,청년광장
서강매크로경영교육센터,0,1,0,1,1,서담
경영학,0,1,0,1,1,서담
